event,time,ticker,side,lots,signal_time,entry_price,exit_price,entry_total_amount,exit_total_amount,entry_commission,exit_commission,commission_rub,gross_pnl_rub,net_pnl_rub,gross_pnl_bp,net_pnl_bp,close_at,arm
CLOSE,2026-09-11T08:27:06.014661+00:00,SBER,1,1,2026-09-11T07:57:00+00:00,283.47,284.14,283.47,284.14,0.141735,0.14207,0.283805,0.6699999999999591,0.3861949999999591,23.63565809432977,13.623840265282361,,NO_BROAD_TREND
CLOSE,2026-09-11T08:27:06.014661+00:00,SBERP,1,1,2026-09-11T07:57:00+00:00,283.32,283.92,283.32,283.92,0.14166,0.14196,0.28362,0.6000000000000227,0.31638000000002275,21.177467174926523,11.16687844133922,,NO_BROAD_TREND
CLOSE,2026-09-11T08:37:00.304413+00:00,SIBN,1,1,2026-09-11T08:07:00+00:00,544.9,545.5,544.9,545.5,0.27245,0.27275,0.5452,0.6000000000000227,0.05480000000002272,11.011194714627415,1.0056891172696407,,NO_BROAD_TREND
CLOSE,2026-09-11T08:49:05.344384+00:00,NVTK,1,1,2026-09-11T08:19:00+00:00,1028.8,1026.7,1028.8,1026.7,0.5144,0.51335,1.02775,-2.099999999999909,-3.127749999999909,-20.412130637634807,-30.401924572316382,,NO_BROAD_TREND
OPEN,2026-09-11T09:41:31.847101+00:00,TRNFP,1,1,2026-09-11T09:39:00+00:00,1020.4,,1020.4,,0.5102,,,,,,,2026-09-11T10:09:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T09:47:03.739819+00:00,AFKS,-1,1,2026-09-11T09:45:00+00:00,7.547,,754.7,,0.37735,,,,,,,2026-09-11T10:15:00+00:00,NO_BROAD_TREND
OPEN,2026-09-11T09:47:03.739819+00:00,NVTK,-1,1,2026-09-11T09:45:00+00:00,1027.6,,1027.6,,0.5138,,,,,,,2026-09-11T10:15:00+00:00,NO_BROAD_TREND
CLOSE,2026-09-11T10:09:01.578739+00:00,TRNFP,1,1,2026-09-11T09:39:00+00:00,1020.4,1020.8,1020.4,1020.8,0.5102,0.5104,1.0206,0.39999999999997726,-0.6206000000000227,3.9200313602516523,-6.081928655429466,,NO_BROAD_TREND
CLOSE,2026-09-11T10:15:03.691659+00:00,AFKS,-1,1,2026-09-11T09:45:00+00:00,7.547,7.6129999999999995,754.7,761.3,0.37735,0.38065,0.758,-6.599999999999909,-7.357999999999909,-87.451967669272,-97.49569365310599,,NO_BROAD_TREND
CLOSE,2026-09-11T10:15:03.691659+00:00,NVTK,-1,1,2026-09-11T09:45:00+00:00,1027.6,1030.0,1027.6,1030.0,0.5138,0.515,1.0288,-2.400000000000091,-3.428800000000091,-23.355391202803943,-33.36706889840494,,NO_BROAD_TREND
