time,price,quantity,direction
2026-07-13T18:48:02.300830+00:00,94.29,1,1
2026-07-13T18:48:03.977105+00:00,94.29,458,1
2026-07-13T18:48:15.988216+00:00,94.29,35,1
2026-07-13T18:48:19.552252+00:00,94.28,12,2
2026-07-13T18:48:19.555366+00:00,94.29,85,1
2026-07-13T18:48:24.537563+00:00,94.3,20,2
2026-07-13T18:48:30.023300+00:00,94.31,1,1
2026-07-13T18:48:33.400598+00:00,94.3,1,2
2026-07-13T18:48:34.154484+00:00,94.31,1,1
2026-07-13T18:48:37.916161+00:00,94.31,15,1
2026-07-13T18:48:39.123169+00:00,94.31,1,1
2026-07-13T18:48:41.632374+00:00,94.31,250,1
2026-07-13T18:48:42.830744+00:00,94.31,100,1
2026-07-13T18:48:42.831810+00:00,94.31,100,1
2026-07-13T18:48:42.832382+00:00,94.31,100,1
2026-07-13T18:48:42.832881+00:00,94.31,100,1
2026-07-13T18:48:42.835848+00:00,94.31,96,1
2026-07-13T18:48:42.836340+00:00,94.31,100,1
2026-07-13T18:48:42.837007+00:00,94.31,100,1
2026-07-13T18:48:42.837605+00:00,94.31,36,1
2026-07-13T18:48:42.838032+00:00,94.34,41,1
2026-07-13T18:48:48.772388+00:00,94.36,1,1
2026-07-13T18:48:48.772875+00:00,94.36,25,1
2026-07-13T18:48:55.643201+00:00,94.35,1,2
2026-07-13T18:48:57.020502+00:00,94.36,20,1
2026-07-13T18:49:02.136668+00:00,94.37,1,2
2026-07-13T18:49:02.543277+00:00,94.38,44,1
2026-07-13T18:49:02.545334+00:00,94.38,20,1
2026-07-13T18:49:02.547442+00:00,94.38,232,1
2026-07-13T18:49:02.548059+00:00,94.39,1,1
2026-07-13T18:49:02.549022+00:00,94.39,203,1
2026-07-13T18:49:03.395048+00:00,94.4,1,1
2026-07-13T18:49:09.027949+00:00,94.4,1,1
2026-07-13T18:49:17.154039+00:00,94.39,30,2
2026-07-13T18:49:18.071252+00:00,94.4,18,1
2026-07-13T18:49:18.072362+00:00,94.4,1,1
2026-07-13T18:49:34.230910+00:00,94.4,1,1
2026-07-13T18:49:36.116871+00:00,94.4,1,1
2026-07-13T18:49:36.920979+00:00,94.39,60,2
2026-07-13T18:49:36.983752+00:00,94.39,18,2
2026-07-13T18:49:41.526542+00:00,94.39,32,2
2026-07-13T18:49:44.640537+00:00,94.39,1,1
2026-07-13T18:49:57.889621+00:00,94.39,69,1
2026-07-13T18:50:04.038645+00:00,94.39,18,1
2026-07-13T18:50:05.968013+00:00,94.39,1,1
2026-07-13T18:50:06.027118+00:00,94.38,1,2
2026-07-13T18:50:10.197929+00:00,94.38,3,2
2026-07-13T18:50:31.079979+00:00,94.39,10,1
2026-07-13T18:50:33.545544+00:00,94.39,50,1
2026-07-13T18:50:38.399894+00:00,94.39,1,1
2026-07-13T18:50:39.623967+00:00,94.39,2,1
2026-07-13T18:50:41.891042+00:00,94.39,1,1
2026-07-13T18:50:48.620158+00:00,94.39,5,1
2026-07-13T18:50:49.464002+00:00,94.38,525,2
2026-07-13T18:50:52.761285+00:00,94.39,2,1
2026-07-13T18:50:54.534215+00:00,94.39,1,1
2026-07-13T18:51:06.147392+00:00,94.39,1,1
2026-07-13T18:51:12.246399+00:00,94.39,6,1
2026-07-13T18:51:12.247086+00:00,94.39,230,1
2026-07-13T18:51:12.249428+00:00,94.39,149,1
2026-07-13T18:51:12.250276+00:00,94.39,38,1
2026-07-13T18:51:12.254664+00:00,94.39,33,1
2026-07-13T18:51:12.255429+00:00,94.39,44,1
2026-07-13T18:51:18.007425+00:00,94.39,10,2
2026-07-13T18:51:18.011587+00:00,94.39,1,2
2026-07-13T18:51:18.012217+00:00,94.38,1,2
2026-07-13T18:51:18.012604+00:00,94.38,113,2
2026-07-13T18:51:18.013137+00:00,94.38,52,2
2026-07-13T18:51:20.398321+00:00,94.38,3,1
2026-07-13T18:51:25.751560+00:00,94.38,320,1
2026-07-13T18:51:25.752050+00:00,94.38,47,1
2026-07-13T18:51:25.756276+00:00,94.38,37,1
2026-07-13T18:51:25.756679+00:00,94.38,125,1
2026-07-13T18:51:27.490706+00:00,94.38,7,1
2026-07-13T18:51:31.957220+00:00,94.38,4,1
2026-07-13T18:51:47.860370+00:00,94.37,10,2
2026-07-13T18:51:59.677272+00:00,94.38,1,1
2026-07-13T18:52:05.850369+00:00,94.37,110,2
2026-07-13T18:52:09.019779+00:00,94.37,20,2
2026-07-13T18:52:09.549151+00:00,94.38,1,1
2026-07-13T18:52:13.020864+00:00,94.37,270,2
2026-07-13T18:52:13.324756+00:00,94.37,25,2
2026-07-13T18:52:20.484887+00:00,94.37,6,2
2026-07-13T18:52:26.861317+00:00,94.37,5,2
2026-07-13T18:52:30.194828+00:00,94.37,10,2
2026-07-13T18:52:30.665996+00:00,94.37,1,2
2026-07-13T18:52:36.417351+00:00,94.37,5,2
2026-07-13T18:52:36.482591+00:00,94.37,11,2
2026-07-13T18:52:39.093324+00:00,94.37,41,2
2026-07-13T18:52:39.100366+00:00,94.37,33,2
2026-07-13T18:52:39.128581+00:00,94.37,191,2
2026-07-13T18:52:39.189061+00:00,94.37,74,2
2026-07-13T18:52:39.230591+00:00,94.37,1,2
2026-07-13T18:52:42.936749+00:00,94.37,1,1
