score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,20.0,50.0,96,10,-296.712656724626,-183.8223406849073,-195.42116623470827,-107.7676855315908,-254.93230456082196,0,5,-1038.6561537366542,-10.819334934756816,-1107.49100644417,-1108.945069328221
1.3,0.6,1.5,60.0,20.0,50.0,96,12,-332.712656724626,-217.8223406849073,-261.42116623470827,-125.7676855315908,-292.932304560822,0,5,-1230.6561537366542,-12.819334934756816,-1107.49100644417,-1108.945069328221
1.3,0.6,1.5,60.0,30.0,15.0,100,0,-209.19367743943968,-150.64826194742705,112.92965480691785,-1.5127957248812436,7.7951503812473675,2,5,-240.62992992358295,-2.4062992992358296,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,15.0,100,2,-247.19367743943968,-186.64826194742705,44.92965480691785,-19.512795724881244,-32.20484961875263,1,5,-440.62992992358295,-4.40629929923583,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,15.0,100,4,-285.1936774394397,-222.64826194742705,-23.070345193082147,-37.512795724881244,-72.20484961875263,0,5,-640.629929923583,-6.40629929923583,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,15.0,100,6,-323.1936774394397,-258.64826194742705,-91.07034519308215,-55.512795724881244,-112.20484961875263,0,5,-840.629929923583,-8.40629929923583,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,15.0,100,8,-361.1936774394397,-294.64826194742705,-159.07034519308215,-73.51279572488124,-152.20484961875263,0,5,-1040.629929923583,-10.40629929923583,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,15.0,100,10,-399.1936774394397,-330.64826194742705,-227.07034519308215,-91.51279572488124,-192.20484961875263,0,5,-1240.629929923583,-12.40629929923583,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,15.0,100,12,-437.1936774394397,-366.64826194742705,-295.0703451930822,-109.51279572488124,-232.20484961875263,0,5,-1440.629929923583,-14.40629929923583,-1313.3097039522868,-1267.941858343062
1.3,0.6,1.5,60.0,30.0,25.0,96,0,-113.25984175426453,-106.13420916986576,0.1879010503345171,166.6977241383293,-9.045826420875613,2,5,-61.554252156342045,-0.641190126628563,-1094.234026185046,-1040.7834962709132
1.3,0.6,1.5,60.0,30.0,25.0,96,2,-149.25984175426453,-140.13420916986576,-65.81209894966548,148.6977241383293,-47.04582642087561,1,5,-253.55425215634205,-2.641190126628563,-1094.234026185046,-1040.7834962709132
1.3,0.6,1.5,60.0,30.0,25.0,96,4,-185.25984175426453,-174.13420916986576,-131.81209894966548,130.6977241383293,-85.04582642087561,1,5,-445.55425215634205,-4.641190126628563,-1094.234026185046,-1040.7834962709132
1.3,0.6,1.5,60.0,30.0,25.0,96,6,-221.25984175426453,-208.13420916986576,-197.81209894966548,112.6977241383293,-123.04582642087561,1,5,-637.554252156342,-6.641190126628563,-1094.234026185046,-1040.7834962709132
1.3,0.6,1.5,60.0,30.0,25.0,96,8,-257.2598417542645,-242.13420916986576,-263.8120989496655,94.6977241383293,-161.0458264208756,1,5,-829.554252156342,-8.641190126628564,-1094.234026185046,-1040.7834962709132
