score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,30.0,50.0,94,4,-345.5534012288748,-117.27837276548075,125.42265197993483,62.64139180961191,-183.60656615234507,2,5,-458.37429635715375,-4.876322301671848,-1121.354249040481,-1099.0786930497975
1.3,0.6,1.5,60.0,30.0,50.0,94,6,-377.5534012288748,-151.27837276548075,59.42265197993483,44.64139180961191,-221.60656615234507,2,5,-646.3742963571538,-6.876322301671848,-1121.354249040481,-1099.0786930497975
1.3,0.6,1.5,60.0,30.0,50.0,94,8,-409.5534012288748,-185.27837276548075,-6.577348020065173,26.64139180961191,-259.60656615234507,1,5,-834.3742963571538,-8.876322301671848,-1121.354249040481,-1099.0786930497975
1.3,0.6,1.5,60.0,30.0,50.0,94,10,-441.5534012288748,-219.27837276548075,-72.57734802006517,8.64139180961191,-297.60656615234507,1,5,-1022.3742963571538,-10.876322301671848,-1121.354249040481,-1099.0786930497975
1.3,0.6,1.5,60.0,30.0,50.0,94,12,-473.5534012288748,-253.27837276548075,-138.5773480200652,-9.35860819038809,-335.60656615234507,0,5,-1210.3742963571538,-12.876322301671848,-1121.354249040481,-1099.0786930497975
1.3,0.6,1.5,60.0,40.0,15.0,98,0,-198.61291800899392,-221.70145539909117,-15.807716531896858,33.231410237178466,21.80489917443478,2,5,-381.08578052836856,-3.888630413554781,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,15.0,98,2,-234.61291800899392,-255.70145539909117,-83.80771653189686,15.231410237178466,-18.19510082556522,1,5,-577.0857805283686,-5.888630413554782,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,15.0,98,4,-270.6129180089939,-289.7014553990912,-151.80771653189686,-2.7685897628215344,-58.19510082556522,0,5,-773.0857805283686,-7.888630413554782,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,15.0,98,6,-306.6129180089939,-323.7014553990912,-219.80771653189686,-20.768589762821534,-98.19510082556522,0,5,-969.0857805283686,-9.88863041355478,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,15.0,98,8,-342.6129180089939,-357.7014553990912,-287.80771653189686,-38.768589762821534,-138.19510082556522,0,5,-1165.0857805283686,-11.88863041355478,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,15.0,98,10,-378.6129180089939,-391.7014553990912,-355.80771653189686,-56.768589762821534,-178.19510082556522,0,5,-1361.0857805283686,-13.88863041355478,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,15.0,98,12,-414.6129180089939,-425.7014553990912,-423.80771653189686,-74.76858976282153,-218.19510082556522,0,5,-1557.0857805283686,-15.88863041355478,-1464.9094902052557,-1439.940456308587
1.3,0.6,1.5,60.0,40.0,25.0,94,0,-198.0370397472126,-202.64697476458178,-119.29403457813652,110.6131008124227,22.649187889206473,2,5,-386.71576038830153,-4.113997450939378,-1430.5394700651884,-1385.154461197964
1.3,0.6,1.5,60.0,40.0,25.0,94,2,-232.0370397472126,-234.64697476458178,-185.29403457813652,92.6131008124227,-15.350812110793527,1,5,-574.7157603883015,-6.113997450939378,-1430.5394700651884,-1385.154461197964
