family,horizon,param1,param2,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_without_best_day,pre_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_wr,fwd_days,fwd_pos_days,fwd_without_best_day,fwd_without_best_ticker
REGIME,120,1.5,0.6,196,-2954.120668686087,198,-4645.901906950463,185,-4419.227723708899,579,-12019.25029934545,-20.758636095587995,39.89637305699482,15,2,-12165.256317156412,-12477.462044787751,92,-1288.3853743717443,-14.004188851866786,40.21739130434783,4,0,-1200.6310471113516,-1595.1368387012403
REGIME,120,1.5,0.65,200,-3644.0303239080567,200,-3990.8788187958776,187,-4090.126327626245,587,-11725.035470330178,-19.97450676376521,40.20442930153322,15,2,-12236.278639700324,-12027.000747105314,92,-1499.656513139315,-16.300614273253423,41.30434782608695,4,0,-1411.9021858789222,-1806.4079774688107
REGIME,120,1.5,0.7,202,-4029.49820633198,202,-3719.0975361922046,189,-4126.994694007484,593,-11875.590436531667,-20.026290786731312,39.96627318718381,15,1,-12386.833605901813,-12150.410200627864,94,-1672.1369288391097,-17.788690732330956,40.42553191489361,4,0,-1590.4001779699854,-1959.2424360571829
REGIME,120,1.75,0.6,164,-2053.8795657647047,157,-3064.2017685548262,154,-2986.7637890316178,475,-8104.84512335115,-17.062831838634,39.578947368421055,15,5,-8446.67809960237,-8736.161857166851,67,-1082.7356055771857,-16.160232919062473,40.298507462686565,4,0,-1018.2225683768604,-1363.4954807135339
REGIME,120,1.75,0.65,167,-2208.5533906510955,159,-1762.3374904996833,156,-2621.319484182448,482,-6592.210365333227,-13.676784990317898,40.871369294605806,15,5,-7555.630754544265,-7474.366410776512,67,-965.6740961544217,-14.413046211260026,40.298507462686565,4,0,-901.583019729734,-1246.43397129077
REGIME,120,1.75,0.7,168,-2225.2357523792907,160,-1437.5424506051143,158,-3823.6263565262807,486,-7486.404559510685,-15.404124608046677,41.9753086419753,15,3,-8449.824948721724,-7933.249181744999,67,-920.5275636725983,-13.739217368247735,41.7910447761194,4,0,-856.4364872479106,-1201.2874388089465
REGIME,120,2.0,0.6,131,-1119.5010662225523,130,-3214.2586149568174,124,-2235.2043748781234,385,-6568.964056057493,-17.062244301448033,38.44155844155844,15,4,-7348.0635062710935,-7108.7537408468415,50,-803.9867096809072,-16.079734193618144,42.0,4,0,-773.7951480039007,-1100.0915087585104
REGIME,120,2.0,0.65,132,-1210.1034725313796,132,-2302.7747229178376,125,-1763.992294557273,389,-5276.8704900064895,-13.565219768654215,40.102827763496144,15,5,-6502.66674409083,-6067.49948642342,50,-686.9252002581429,-13.73850400516286,42.0,4,0,-656.7336385811365,-983.029999335746
REGIME,120,2.0,0.7,132,-1167.7881440710055,133,-2152.2459692928815,125,-3083.318043926023,390,-6403.352157289909,-16.418851685358742,40.256410256410255,15,4,-7674.862561037375,-6782.275583022304,50,-740.5489533138899,-14.810979066277799,44.0,4,0,-710.3573916368834,-1036.653752391493
XSEC_MR,120,1.0,,387,-4497.2105256424775,329,-2832.141513370725,375,-4711.713711884817,1091,-12041.065750898018,-11.036723878000016,40.23831347387718,15,0,-11955.845644874988,-12506.7647297026,293,-3553.888780316954,-12.129313243402574,39.59044368600683,4,0,-3060.6427921685195,-3821.901646375473
XSEC_MR,120,2.0,,464,-5521.549169683457,411,-5297.221580950138,453,-6538.153678119285,1328,-17356.924428752878,-13.069973214422347,38.93072289156627,15,1,-17580.50838829448,-18147.906950666093,327,-3593.421781909561,-10.989057437032297,40.36697247706422,4,0,-3144.3258949809897,-3708.538189668797
XSEC_MR,120,3.0,,496,-7317.065598833007,454,-3852.638850881891,484,-6763.647099360764,1434,-17933.35154907566,-12.505823953330308,40.6555090655509,15,0,-17702.292368812403,-18434.07022669663,346,-3316.040466719657,-9.583931984738893,38.72832369942196,4,0,-2753.6111065583873,-3675.5124591956164
XSEC_MOM,120,1.0,,387,-4889.467797027655,329,-5082.603356517104,375,-4357.3522736756,1091,-14329.42342722036,-13.1342102907611,37.763519706691106,15,1,-14330.636978541057,-14680.575802474623,292,-4047.86705012752,-13.862558390847672,37.67123287671233,4,0,-3699.0365942434787,-4165.356467558209
XSEC_MOM,120,2.0,,464,-5562.377806374532,411,-4594.121834995629,453,-4534.156123608247,1328,-14690.655764978408,-11.06224078688133,39.984939759036145,15,0,-14638.817718281112,-15550.691688405386,327,-4865.470032860093,-14.879113250336676,35.77981651376147,4,0,-3844.0809539145707,-4894.571763126205
XSEC_MOM,120,3.0,,496,-4646.60744084175,454,-7063.333888556971,484,-5062.430828526677,1434,-16772.372157925398,-11.696214893950765,39.8186889818689,15,1,-16874.037053409316,-17013.451323637375,346,-5676.0580824620465,-16.404792145844066,35.26011560693642,4,0,-4834.38210264348,-5922.730470559445
