share_min,market_ret5_min,start_hour,score_max,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_days,sep_pos_days,sep_no_best_day,fresh_trades,fresh_net,fresh_mean
0.4,0.0,12,1.7,68.48602645173035,21.580258520551233,86.83639833350664,-66.06386540079572,394.68739826013507,4,5,21,505.5262161651276,24.072676960244173,71.42857142857143,14,9,229.41608812104482,300.0885911352659,5,-145.05608566879437,-29.011217133758873,3,2,-161.1676251141406,0,,
0.4,0.0,12,1.9,135.89468067248302,6.017806352423911,130.11090519556313,-184.91556250415394,534.4613927307596,4,5,31,621.5692224470755,20.050620078937918,67.74193548387096,18,11,266.74286088388817,483.43736943654403,6,-208.3165395831821,-34.71942326386368,3,1,-224.42807902852834,0,,
0.4,0.0,12,2.2,246.22362438882675,66.55917035776358,123.35586118990821,-191.4050527249095,523.0226278270688,4,5,40,767.7562310386579,19.19390577596645,67.5,19,12,408.451033017934,595.3832130099757,8,-254.29181141169124,-31.786476426461405,4,2,-281.27252600942825,0,,
0.4,0.0,12,99.0,261.7117522811388,-20.757709962982524,313.2702174425062,-191.4050527249095,720.1778964549248,3,5,62,1082.9971034906778,17.467695217591576,64.51612903225806,21,13,747.4457824642994,787.2791389768229,8,-254.29181141169124,-31.786476426461405,4,2,-281.27252600942825,0,,
0.4,0.0,13,1.7,68.48602645173035,21.580258520551233,86.83639833350664,-66.06386540079572,394.68739826013507,4,5,21,505.5262161651276,24.072676960244173,71.42857142857143,14,9,229.41608812104482,300.0885911352659,4,-84.00292679512083,-21.000731698780207,3,2,-100.11446624046707,0,,
0.4,0.0,13,1.9,135.89468067248302,73.32357837175411,75.83007142690093,-123.89483616054284,534.4613927307596,4,5,28,695.6148870413548,24.843388822905528,71.42857142857143,16,11,340.78852547816746,490.1772620114931,5,-147.26338070950857,-29.452676141901712,3,1,-163.3749201548548,0,,
0.4,0.0,13,2.2,246.22362438882675,133.86494237709377,69.07502742124599,-130.3843263812984,523.0226278270688,4,5,37,841.8018956329369,22.75140258467397,70.27027027027027,18,13,482.4966976122129,631.8854341455386,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,0.0,13,99.0,335.42670295672315,52.69550306499112,194.90526424106508,-130.3843263812984,720.1778964549248,4,5,55,1172.8210403364058,21.32401891520738,67.27272727272727,20,13,837.2697193100274,910.2749220377666,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,0.0,14,1.7,84.35632736179721,33.688029146630264,86.83639833350664,-66.06386540079572,394.68739826013507,4,5,17,533.5042877012735,31.38260515889844,76.47058823529412,10,7,257.3941596571907,414.63100274541705,4,-84.00292679512083,-21.000731698780207,3,2,-100.11446624046707,0,,
0.4,0.0,14,1.9,151.76498158254986,85.43134899783314,75.83007142690093,-66.06386540079572,534.4613927307596,4,5,23,781.4239293372477,33.97495344944555,78.26086956521739,12,10,426.5975677740604,662.5506443813913,5,-147.26338070950857,-29.452676141901712,3,1,-163.3749201548548,0,,
0.4,0.0,14,2.2,262.09392529889357,145.9727130031728,16.467776308979055,-72.55335562155128,523.0226278270688,4,5,31,875.003686816563,28.22592538117945,74.19354838709677,16,12,515.698488795839,702.6306687878808,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,0.0,14,99.0,351.2970038667901,127.3790718029203,79.70904601621118,-72.55335562155128,720.1778964549248,4,5,46,1206.0096625192948,26.217601359115104,71.73913043478261,19,15,870.4583414929165,974.3758174382187,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.45,-0.003,10,1.7,89.37609847510856,105.78214643389995,-90.47999877483758,-12.749644611841916,336.8132767776327,3,5,21,428.7418782999617,20.416279919045795,66.66666666666666,14,8,152.6317502558789,223.3042532701,2,-66.82831064903658,-33.41415532451829,2,1,-79.99017157612403,0,,
0.45,-0.003,10,1.9,221.78457525379167,152.35159369034935,-47.20549191278107,-64.6161652145457,476.58727124825725,3,5,35,738.9017830650713,21.111479516144893,68.57142857142857,19,12,384.07542150188397,535.7701074966094,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,10,2.2,270.7265593389313,146.67351648495665,-179.82342726860003,-71.10565543530126,430.7287934880731,3,5,50,597.1997866080598,11.943995732161195,60.0,20,12,234.0067623630079,394.0681110395978,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
0.45,-0.003,10,99.0,228.9675046772726,186.55771796595047,-120.57622848991136,48.143590609350746,623.1629710641514,4,5,77,966.2555558268137,12.548773452296283,59.74025974025974,22,13,626.8164085761075,606.3600847129264,3,-130.08876456342432,-43.36292152114144,2,0,-79.99017157612404,0,,
