horizon,score_cut,flow_votes,market_align,W0_trades,W0_net,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,W4_trades,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_pos_days,pre_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_wr,sep_pos_days,sep_days,sep_no_best_day,sep_no_best_ticker,fresh_trades,fresh_net,fresh_mean,fresh_wr,fresh_pos_days,fresh_days,fresh_no_best_day,fresh_no_best_ticker
30,1.5,3,False,353,-5334.992417910011,292,-3516.891235112057,405,-5576.787549220133,437,-5710.460495523772,410,-3181.0446502018353,0,5,1897,-23320.176347967805,-12.293187321016239,35.05535055350554,1,25,-23771.466085727403,-23357.158960853594,166,-2589.778129989864,-15.601073072228095,28.313253012048197,0,4,-2490.388475487549,-2597.465267679358,125,-3059.0687525971125,-24.4725500207769,24.0,0,3,-3047.994192703799,-3161.3696856005513
30,1.5,3,True,337,-4991.192209294287,275,-3205.035321055062,383,-5335.391540912714,423,-5348.905107011258,393,-2888.9194028948746,0,5,1811,-21769.443581168194,-12.020675638414243,35.11871893981226,3,25,-22178.85089543672,-21806.426194053984,154,-2339.72761661436,-15.19303647152182,29.22077922077922,0,4,-2271.9959880888164,-2364.4076398441575,121,-2889.047295244192,-23.87642392763795,24.793388429752067,0,3,-2877.9727353508783,-2991.3482282476307
30,1.75,1,False,314,-4813.599534761643,257,-2992.786910636471,359,-4957.15012912885,396,-7103.048101539747,379,-4022.5200656736006,0,5,1705,-23889.10474174031,-14.011205127120416,33.724340175953074,1,25,-24097.496537850166,-24200.303156978876,140,-2236.99400857858,-15.978528632704144,23.57142857142857,0,4,-2154.547103518189,-2539.1148043536496,113,-2527.236333657155,-22.364923306700486,24.778761061946902,0,3,-2516.161773763841,-2639.855688096202
30,1.75,1,True,303,-4702.179570606596,238,-3087.6773540199956,342,-4397.150616264074,385,-6962.683203369275,364,-3517.4943335608714,0,5,1632,-22667.18507782081,-13.88920654278236,33.88480392156863,3,25,-23073.966948446418,-22769.887217778058,128,-2001.9607469437576,-15.640318335498106,24.21875,0,4,-1951.1718678601371,-2275.1415188196197,109,-2518.8416846521504,-23.108639308735324,23.853211009174313,0,3,-2507.767124758837,-2566.7202076011185
30,1.75,2,False,309,-4804.386544532452,254,-2836.4166619473244,355,-5109.937511561023,387,-6619.672503665639,372,-3446.2208483934237,0,5,1677,-22816.63407009986,-13.605625563565807,34.34704830053667,2,25,-23025.025866209715,-23127.832485338426,140,-2254.501815237008,-16.103584394550058,23.57142857142857,0,4,-2172.054910176617,-2539.114804353649,113,-2451.975921475745,-21.698901959962345,24.778761061946902,0,3,-2440.9013615824315,-2564.595275914792
30,1.75,2,True,298,-4645.387860566592,235,-2931.3071053308486,338,-4501.312383389121,377,-6481.756147949754,357,-2932.7815601357697,0,5,1605,-21492.545057372085,-13.390993805216253,34.57943925233645,3,25,-21899.326927997692,-21595.247197329332,128,-2019.468553602186,-15.777098075017078,24.21875,0,4,-1968.6796745185654,-2275.1415188196197,109,-2520.728360034367,-23.12594825719603,23.853211009174313,0,3,-2509.6538001410536,-2568.6068829833353
30,1.75,3,False,267,-4393.160983701837,206,-2224.066418176405,302,-3790.178081399652,316,-3826.368527664211,312,-1872.520660844415,0,5,1403,-16106.294671786522,-11.479896416098732,35.994297933000716,5,25,-16522.07046455937,-16198.412138640291,116,-1550.5306254117997,-13.366643322515515,30.17241379310345,0,4,-1468.0837203514084,-1767.2093695830486,95,-2288.899164408452,-24.093675414825814,24.210526315789473,0,3,-2277.8246045151386,-2402.8565825126616
30,1.75,3,True,255,-4193.729663949078,194,-2055.6517119768655,288,-3403.142359779837,308,-3628.917769624233,299,-1594.9592029301953,0,5,1344,-14876.40070826021,-11.068750526979322,36.30952380952381,5,25,-15564.997659777495,-14968.518175113979,105,-1249.8119506448918,-11.90297095852278,32.38095238095238,0,4,-1199.0230715612713,-1491.3190522481525,90,-2338.5053009623352,-25.983392232914834,23.333333333333332,0,3,-2327.4307410690217,-2434.70822500275
30,2.0,1,False,228,-3304.2149914542492,174,-1861.947737047668,258,-3001.027630128089,316,-5097.547357624024,276,-2453.9765764725694,0,5,1252,-15718.714292726596,-12.554883620388654,35.70287539936102,4,25,-16195.871922681643,-16140.283684950111,110,-1767.2460461213927,-16.065873146558115,23.636363636363637,0,4,-1684.7991410610014,-2089.0830722678556,70,-1719.7995128429204,-24.568564469184576,25.71428571428571,0,2,-1451.299069310899,-1887.5355381621007
30,2.0,1,True,216,-3252.3950695087497,163,-2018.8218049994082,249,-2517.8751857134584,305,-4898.343003045809,266,-1913.8496207533262,0,5,1199,-14601.284684020753,-12.177885474579444,35.9466221851543,4,25,-15353.190460880493,-14862.974795551527,100,-1605.7176123187235,-16.057176123187233,24.0,0,4,-1554.928733235103,-1934.8118477116477,66,-1571.489809306087,-23.810451656152832,25.757575757575758,0,2,-1373.2742202584675,-1816.3729221888937
30,2.0,2,False,222,-3236.8927836243956,172,-1762.5138733476006,256,-3047.6412016341937,310,-4804.4914343099335,272,-2143.131630741502,0,5,1232,-14994.670923657624,-12.170999126345475,36.12012987012987,4,25,-15471.828553612671,-15416.24031588114,109,-1745.084036733298,-16.009945291131174,23.853211009174313,0,4,-1662.6371316729067,-2066.921062879761,68,-1528.4488509121609,-22.477188984002368,27.941176470588236,0,2,-1337.095494943766,-1732.9457132606485
30,2.0,2,True,210,-3185.072861678896,161,-1919.3879412993415,247,-2564.488757219564,299,-4605.287079731719,262,-1594.591118877334,0,5,1179,-13868.827758806854,-11.763212687707256,36.38676844783715,4,25,-14620.733535666594,-14130.517870337628,99,-1583.5556029306288,-15.995511140713422,24.242424242424242,0,4,-1532.7667238470083,-1912.649838323553,64,-1457.2862349389543,-22.77009742092116,28.125,0,2,-1259.0706458913348,-1661.783097287442
30,2.0,3,False,189,-2933.49573557033,144,-1802.518310267903,218,-2234.765609575844,246,-3305.2866617258105,223,-753.8547556056503,0,5,1020,-11029.921072745537,-10.81364811053484,37.84313725490196,5,25,-11600.808250075177,-11281.026511172831,92,-1470.5365540705016,-15.98409297902719,27.173913043478258,0,4,-1388.0896490101102,-1695.3405541257453,58,-1454.3823561266145,-25.075557864251973,25.862068965517242,0,2,-1357.8348246890196,-1587.6353952936026
30,2.0,3,True,179,-2796.6343801623693,141,-1777.6043876349206,213,-2004.0358755510838,238,-3096.055915586974,215,-368.9951004192975,0,5,986,-10043.325659354647,-10.18592866060309,38.03245436105477,5,25,-10837.376150877726,-10294.43109778194,84,-1269.0465937722447,-15.107697544907674,28.57142857142857,0,4,-1218.2577146886242,-1518.6789512595005,54,-1411.2072953747304,-26.133468432865378,25.925925925925924,0,2,-1279.8099756365882,-1532.356999809848
60,1.3,1,False,380,-6354.859325659048,386,-4585.10384983758,421,-1915.0751751136129,448,-6431.036636933744,434,-8640.71429732635,0,5,2069,-27926.789284870334,-13.49772319230079,37.07104881585307,1,25,-30267.801538339005,-28143.19382352025,217,-2237.3184280927007,-10.310223170934105,34.56221198156682,0,4,-2057.1551011094402,-2439.4644798442173,136,-3085.3424788833054,-22.686341756494894,31.61764705882353,0,3,-3059.160737031483,-3190.6510715965283
60,1.3,1,True,370,-5473.781296693133,371,-5118.724165351965,407,-1314.5669405161761,436,-5719.96018192827,421,-7819.567520741624,0,5,2005,-25446.600105231166,-12.691571124803573,37.30673316708229,2,25,-27892.20788680921,-25645.01637562038,207,-1935.700400953164,-9.351209666440406,35.748792270531396,0,4,-1922.5586466656728,-2137.8464527046804,134,-3030.7800535245733,-22.617761593466966,32.08955223880597,0,3,-3004.598311672751,-3136.088646237796
